node_count,tx_power,duty_cycle,energy,pdr,latency
100,4.489795918367347,0.06999999999999999,0.3142857142857142,0.772666206775291,145.81179489443687
100,1.7755102040816326,0.03,0.05326530612244897,0.42513313241016853,340.2275214203527
100,9.53061224489796,0.27,2.5732653061224493,0.8929048385414798,37.80305793559474
100,8.755102040816325,0.04,0.35020408163265304,0.8834185549270372,255.1706410652645
100,7.979591836734693,0.15000000000000002,1.1969387755102041,0.8720883903296087,68.04550428407053
100,5.26530612244898,0.22,1.1583673469387756,0.8061494722863722,46.39466201186627
100,4.1020408163265305,0.2,0.8204081632653061,0.7511769479777995,51.034128213052895
100,18.06122448979592,0.34,6.140816326530612,0.9434876351641968,30.02007541944288
100,3.7142857142857144,0.06999999999999999,0.26,0.7252009220679284,145.81179489443687
100,19.612244897959183,0.19,3.726326530612245,0.9479568750273895,53.720134961108315
100,14.183673469387754,0.29000000000000004,4.113265306122449,0.928038212773145,35.19595049176062
100,1.7755102040816326,0.31,0.5504081632653061,0.42513313241016853,32.925244008421224
100,1.7755102040816326,0.23,0.4083673469387755,0.42513313241016853,44.37750279395904
100,3.7142857142857144,0.34,1.262857142857143,0.7252009220679284,30.02007541944288
100,7.591836734693877,0.46,3.4922448979591834,0.8655552713413975,22.18875139697952
100,8.36734693877551,0.03,0.2510204081632653,0.8780160008010343,340.2275214203527
100,16.89795918367347,0.2,3.3795918367346944,0.9395972914383345,51.034128213052895
100,20.0,0.16,3.2,0.9489658743386533,63.792660266316126
100,1.7755102040816326,0.09,0.15979591836734694,0.42513313241016853,113.40917380678422
100,18.448979591836736,0.49,9.040000000000001,0.9446753949802144,20.83025641349098
100,7.204081632653061,0.15000000000000002,1.0806122448979594,0.8583188705200666,68.04550428407052
100,18.06122448979592,0.33,5.960204081632654,0.9434876351641968,30.929774674577516
100,14.183673469387754,0.19,2.6948979591836735,0.928038212773145,53.720134961108315
100,7.979591836734693,0.03,0.23938775510204077,0.8720883903296087,340.2275214203527
100,14.959183673469386,0.4,5.983673469387755,0.9317688372367463,25.517064106526448
100,19.612244897959183,0.14,2.745714285714286,0.9479568750273895,72.90589744721842
100,9.53061224489796,0.4,3.8122448979591836,0.8929048385414798,25.517064106526448
100,1.0,0.27,0.27,0.019216002909348485,37.80305793559474
100,6.040816326530612,0.04,0.24163265306122444,0.8310356845623635,255.1706410652645
100,14.183673469387754,0.32,4.538775510204082,0.928038212773145,31.896330133158063
100,11.46938775510204,0.44,5.046530612244898,0.9110081115868518,23.197331005933133
100,9.53061224489796,0.39,3.7169387755102044,0.8929048385414798,26.171347801565595
100,5.653061224489796,0.37,2.0916326530612244,0.8194460765283408,27.586015250298868
100,7.591836734693877,0.32,2.4293877551020406,0.8655552713413975,31.896330133158063
100,11.46938775510204,0.29000000000000004,3.326122448979592,0.9110081115868518,35.19595049176061
100,4.1020408163265305,0.19,0.7793877551020408,0.7511769479777995,53.720134961108315
100,3.7142857142857144,0.3,1.1142857142857143,0.7252009220679285,34.022752142035266
100,13.020408163265305,0.06999999999999999,0.9114285714285713,0.9216090253798838,145.81179489443687
100,3.7142857142857144,0.47000000000000003,1.745714285714286,0.7252009220679284,21.716650303426768
100,12.244897959183673,0.21000000000000002,2.5714285714285716,0.9166442640593987,48.60393163147894
100,11.857142857142858,0.09,1.0671428571428572,0.9139183452137853,113.40917380678422
100,9.142857142857142,0.34,3.1085714285714285,0.8883628567442594,30.02007541944288
100,2.163265306122449,0.28,0.6057142857142859,0.5281752591567969,36.45294872360921
100,15.346938775510203,0.32,4.911020408163266,0.9334927627793389,31.896330133158056
100,17.6734693877551,0.47000000000000003,8.306530612244899,0.9422477565601248,21.716650303426768
100,4.877551020408163,0.12,0.5853061224489795,0.7907387640376934,85.05688035508817
100,13.020408163265305,0.01,0.13020408163265304,0.9216090253798839,1020.682564261058
100,3.326530612244898,0.23,0.7651020408163265,0.6931691373369351,44.37750279395904
100,18.448979591836736,0.12,2.213877551020408,0.9446753949802144,85.05688035508817
100,10.306122448979592,0.01,0.1030612244897959,0.9009634835722722,1020.6825642610578
100,12.244897959183673,0.32,3.9183673469387754,0.9166442640593987,31.896330133158063
100,19.224489795918366,0.15000000000000002,2.8836734693877553,0.9469071729859413,68.04550428407053
100,6.816326530612245,0.38,2.590204081632653,0.8502591667320628,26.860067480554157
100,2.9387755102040813,0.35000000000000003,1.0285714285714285,0.6526845234004619,29.16235897888737
100,2.163265306122449,0.38,0.8220408163265308,0.5281752591567969,26.860067480554157
100,7.979591836734693,0.34,2.713061224489796,0.8720883903296087,30.02007541944288
100,9.918367346938775,0.36000000000000004,3.5706122448979594,0.8970916859952995,28.35229345169605
100,3.326530612244898,0.27,0.8981632653061224,0.6931691373369351,37.80305793559474
100,8.36734693877551,0.04,0.3346938775510204,0.8780160008010343,255.1706410652645
