node_count,tx_power,duty_cycle,_seed,_rep,energy,pdr,latency
100,9.53061224489796,0.27,44,2,2.5732653061224493,0.8799031873523808,42.392454566275106
100,9.53061224489796,0.27,46,4,2.5732653061224493,0.9003518046947495,35.174385555792554
100,4.489795918367347,0.06999999999999999,44,2,0.3142857142857142,0.7450672504569216,163.51375332706115
100,8.755102040816325,0.04,43,1,0.35020408163265304,0.8829913313536902,256.105737666794
100,4.489795918367347,0.06999999999999999,42,0,0.3142857142857142,0.770485897979065,147.21024399649187
100,8.755102040816325,0.04,45,3,0.35020408163265304,0.8910105940594535,238.55336984171095
100,1.7755102040816326,0.03,45,3,0.05326530612244898,0.4625697223575661,318.07115978894797
100,4.489795918367347,0.06999999999999999,46,4,0.3142857142857142,0.7884740830657108,135.67263000091415
100,9.53061224489796,0.27,42,0,2.5732653061224493,0.8918777122209751,38.1656188139053
100,1.7755102040816326,0.03,43,1,0.05326530612244898,0.42302647918403313,341.47431688905874
100,9.53061224489796,0.27,43,1,2.5732653061224493,0.892512378338762,37.94159076545097
100,4.489795918367347,0.06999999999999999,43,1,0.3142857142857142,0.7718331208976611,146.3461358095966
100,8.755102040816325,0.04,42,0,0.35020408163265304,0.8823004477307257,257.61792699386075
100,8.755102040816325,0.04,44,2,0.35020408163265304,0.8692652424587906,286.149068322357
100,8.755102040816325,0.04,46,4,0.35020408163265304,0.8915251590325259,237.42710250159973
100,4.489795918367347,0.06999999999999999,45,3,0.3142857142857142,0.7874706814770966,136.31621133812055
100,1.7755102040816326,0.03,46,4,0.05326530612244898,0.4651070588441444,316.569470002133
100,1.7755102040816326,0.03,42,0,0.05326530612244898,0.41961970974525875,343.4905693251477
100,7.979591836734693,0.15000000000000002,42,0,1.1969387755102041,0.8708616179974016,68.69811386502953
100,1.7755102040816326,0.03,44,2,0.05326530612244898,0.35534269191984036,381.532091096476
100,7.979591836734693,0.15000000000000002,45,3,1.1969387755102041,0.880418274604934,63.61423195778958
100,7.979591836734693,0.15000000000000002,44,2,1.1969387755102041,0.8565595642900239,76.3064182192952
100,7.979591836734693,0.15000000000000002,46,4,1.1969387755102041,0.8809828484438027,63.31389400042659
100,5.26530612244898,0.22,42,0,1.1583673469387756,0.8042902941820886,46.839623089792866
100,7.979591836734693,0.15000000000000002,43,1,1.1969387755102041,0.8716196463118816,68.29486337781174
100,5.26530612244898,0.22,43,1,1.1583673469387756,0.805439088956562,46.56467957578073
100,5.26530612244898,0.22,45,3,1.1583673469387756,0.8187734433764571,43.373339971220176
100,5.26530612244898,0.22,44,2,1.1583673469387756,0.7826154777544947,52.027103331337635
100,5.26530612244898,0.22,46,4,1.1583673469387756,0.8196290571622583,43.168564091199954
100,4.1020408163265305,0.2,43,1,0.8204081632653062,0.750265112708049,51.2211475333588
100,4.1020408163265305,0.2,42,0,0.8204081632653062,0.7487905403903821,51.52358539877215
100,4.1020408163265305,0.2,44,2,0.8204081632653062,0.7209691357280118,57.2298136644714
100,4.1020408163265305,0.2,45,3,0.8204081632653062,0.7673808502953382,47.71067396834219
100,18.06122448979592,0.34,43,1,6.140816326530612,0.9432805403350982,30.130086784328707
100,18.06122448979592,0.34,45,3,6.140816326530612,0.9471678441805653,28.065102334318933
100,18.06122448979592,0.34,44,2,6.140816326530612,0.9366268765131086,33.66459627321847
100,18.06122448979592,0.34,42,0,6.140816326530612,0.9429456374066294,30.30799141104244
100,4.1020408163265305,0.2,46,4,0.8204081632653062,0.7684791007672165,47.48542050031995
100,9.53061224489796,0.27,45,3,2.5732653061224493,0.8998791101005316,35.34123997654977
100,18.06122448979592,0.34,46,4,6.140816326530612,0.9474172773855818,27.93260029430585
100,3.7142857142857144,0.06999999999999999,42,0,0.26,0.722565384085162,147.21024399649187
100,3.7142857142857144,0.06999999999999999,43,1,0.26,0.7241938952297116,146.3461358095966
100,3.7142857142857144,0.06999999999999999,44,2,0.26,0.6918395478498911,163.51375332706115
100,19.612244897959183,0.19,42,0,3.7263265306122446,0.9474577407739584,54.23535305133911
100,3.7142857142857144,0.06999999999999999,46,4,0.26,0.7443093430688387,135.67263000091415
100,3.7142857142857144,0.06999999999999999,45,3,0.26,0.7430964401060389,136.31621133812055
100,19.612244897959183,0.19,44,2,3.7263265306122446,0.9416386945562143,60.24190912049621
100,19.612244897959183,0.19,43,1,3.7263265306122446,0.9477661581443981,53.91699740353558
100,19.612244897959183,0.19,45,3,3.7263265306122446,0.9513460373517886,50.221762071939146
100,14.183673469387754,0.29000000000000004,42,0,4.113265306122449,0.9273480429771931,35.533507171566995
100,19.612244897959183,0.19,46,4,3.7263265306122446,0.9515757443105879,49.984653158231524
100,14.183673469387754,0.29000000000000004,44,2,4.113265306122449,0.9193018511698234,39.46883700998027
100,14.183673469387754,0.29000000000000004,43,1,4.113265306122449,0.9277745020954787,35.324929333350894
100,14.183673469387754,0.29000000000000004,45,3,4.113265306122449,0.932724522025213,32.9039130816153
100,14.183673469387754,0.29000000000000004,46,4,4.113265306122449,0.9330421455980162,32.74856586228962
100,1.7755102040816326,0.31,43,1,0.5504081632653061,0.42302647918403313,33.045901634425036
100,1.7755102040816326,0.31,42,0,0.5504081632653061,0.41961970974525875,33.24102283791752
100,1.7755102040816326,0.31,45,3,0.5504081632653061,0.4625697223575661,30.78107997957561
100,1.7755102040816326,0.31,44,2,0.5504081632653061,0.35534269191984036,36.922460428691224
100,1.7755102040816326,0.31,46,4,0.5504081632653061,0.4651070588441444,30.635755161496743
100,1.7755102040816326,0.23,43,1,0.4083673469387755,0.42302647918403313,44.540128289877224
100,1.7755102040816326,0.23,42,0,0.4083673469387755,0.41961970974525875,44.80311773806274
100,1.7755102040816326,0.23,44,2,0.4083673469387755,0.35534269191984036,49.76505536040991
100,1.7755102040816326,0.23,45,3,0.4083673469387755,0.4625697223575661,41.48754258116712
100,1.7755102040816326,0.23,46,4,0.4083673469387755,0.4651070588441444,41.291670000278216
100,3.7142857142857144,0.34,42,0,1.262857142857143,0.722565384085162,30.30799141104244
100,3.7142857142857144,0.34,43,1,1.262857142857143,0.7241938952297116,30.130086784328707
100,3.7142857142857144,0.34,44,2,1.262857142857143,0.6918395478498911,33.66459627321847
100,3.7142857142857144,0.34,45,3,1.262857142857143,0.7430964401060389,28.065102334318933
100,7.591836734693877,0.46,42,0,3.492244897959184,0.8642658412907985,22.40155886903137
100,3.7142857142857144,0.34,46,4,1.262857142857143,0.7443093430688387,27.93260029430585
100,7.591836734693877,0.46,45,3,3.492244897959184,0.8743106066392605,20.74377129058356
100,7.591836734693877,0.46,44,2,3.492244897959184,0.8492333064418979,24.882527680204955
100,7.591836734693877,0.46,46,4,3.492244897959184,0.8749040162349184,20.645835000139108
100,7.591836734693877,0.46,43,1,3.492244897959184,0.865062586100112,22.270064144938612
100,8.36734693877551,0.03,42,0,0.2510204081632653,0.8768460788871839,343.4905693251477
100,8.36734693877551,0.03,43,1,0.2510204081632653,0.8775689790644595,341.47431688905874
100,8.36734693877551,0.03,45,3,0.2510204081632653,0.8859598660951005,318.07115978894797
100,8.36734693877551,0.03,44,2,0.2510204081632653,0.8632068031992308,381.532091096476
